12DICHLORETHDEG-PWY	1,2-dichloroethane degradation
PWY-7291	oleate &beta;-oxidation (isomerase-dependent, yeast)
PWY-7292	oleate &beta;-oxidation (thioesterase-dependent, yeast)
PWY-7294	xylose degradation IV
PWY-7295	L-arabinose degradation IV
PWY-7297	octopamine biosynthesis
PWY-7298	nevadensin biosynthesis
PWY-7299	progesterone biosynthesis
PWY-7300	ecdysone and 20-hydroxyecdysone biosynthesis
PWY-7301	dTDP-&beta;-L-noviose biosynthesis
PWY-7303	3-dimethylallyl-4-hydroxybenzoate biosynthesis
PWY-7304	3-amino-4,7-dihydroxy-coumarin biosynthesis
PWY-7305	superpathway of steroid hormone biosynthesis
PWY-7306	estradiol biosynthesis II
PWY-7307	oleate &beta;-oxidation (reductase-dependent, yeast)
PWY-7308	acrylonitrile degradation I
PWY-7309	acrylonitrile degradation II
PWY-7310	D-glucosaminate degradation
PWY-7312	dTDP-D-&beta;-fucofuranose biosynthesis
PWY-7315	dTDP-N-acetylthomosamine biosynthesis
PWY-7316	dTDP-N-acetylviosamine biosynthesis
PWY-7317	superpathway of dTDP-glucose-derived O-antigen building blocks biosynthesis
PWY-7318	dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucose biosynthesis
PWY-7321	ecdysteroid metabolism (arthropods)
PWY-7323	superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis
PWY-7325	salvigenin biosynthesis
PWY-7328	superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis
PWY-7330	UDP-N-acetyl-&beta;-L-fucosamine biosynthesis
PWY-7331	UDP-N-acetyl-&beta;-L-quinovosamine biosynthesis
PWY-7332	superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis
PWY-7333	UDP-N-acetyl-&alpha;-D-fucosamine biosynthesis
PWY-7334	UDP-N-acetyl-&alpha;-D-quinovosamine biosynthesis
PWY-7335	UDP-N-acetyl-&alpha;-D-mannosaminouronate biosynthesis
PWY-7336	UDP-N-acetyl-&alpha;-D-galactosaminuronate biosynthesis
PWY-7337	10-cis-heptadecenoyl-CoA degradation (yeast)
PWY-7338	10-trans-heptadecenoyl-CoA degradation (reductase-dependent, yeast)
PWY-7339	10-trans-heptadecenoyl-CoA degradation (MFE-dependent, yeast)
PWY-7340	9-cis, 11-trans-octadecadienoyl-CoA degradation (isomerase-dependent, yeast)
PWY-7341	superpathway of hyoscyamine and scopolamine biosynthesis
PWY-7342	superpathway of nicotine biosynthesis
PWY-7343	UDP-glucose biosynthesis
PWY-7344	UDP-D-galactose biosynthesis
PWY-7345	superpathway of anaerobic sucrose degradation
PWY-7346	UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)
PWY-7347	sucrose biosynthesis III
PWY-7351	pyruvate fermentation to opines
PWY-7352	daunorubicin biosynthesis
PWY-7354	aclacinomycin biosynthesis
PWY-7355	doxorubicin biosynthesis
PWY-7356	thiamin salvage IV (yeast)
PWY-7357	thiamin formation from pyrithiamine and oxythiamine (yeast)
PWY-735	jasmonic acid biosynthesis
PWY-7363	papaverine biosynthesis
PWY-7366	phosphatidylglycerol degradation
PWY-7367	phosphatidylcholine resynthesis via glycerophosphocholine
PWY-7369	thiamin triphosphate metabolism
PWY-7371	1,4-dihydroxy-6-naphthoate biosynthesis II
PWY-7372	demethylmenaquinol-6 biosynthesis II
PWY-7373	superpathway of demethylmenaquinol-6 biosynthesis II
PWY-7374	1,4-dihydroxy-6-naphthoate biosynthesis I
PWY-7375	mRNA capping I
PWY-7376	cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)
PWY-7377	cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)
PWY-7378	aminopropanol phosphate biosynthesis II
PWY-7379	mRNA capping II
PWY-7380	biotin biosynthesis from 8-amino-7-oxononanoate II
PWY-7382	lipoate biosynthesis and incorporation (pyruvate dehydrogenase and oxoglutarate dehydrogenase, yeast)
PWY-7383	anaerobic energy metabolism (invertebrates, cytosol)
PWY-7384	anaerobic energy metabolism (invertebrates, mitochondrial)
PWY-7385	1,3-propanediol biosynthesis (engineered)
PWY-7387	hypotaurine degradation
PWY-7388	octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)
PWY-7389	superpathway of anaerobic energy metabolism (invertebrates)
PWY-7391	isoprene biosynthesis II (engineered)
PWY-7392	taxadiene biosynthesis (engineered)
PWY-7393	&beta;-carotene biosynthesis (engineered)
PWY-7394	urate degradation to allantoin II
PWY-7395	D-galactosamine and N-acetyl-D-galactosamine degradation
PWY-7396	butanol and isobutanol biosynthesis (engineered)
PWY-7397	naringenin biosynthesis (engineered)
PWY-7398	coumarins biosynthesis (engineered)
PWY-7399	methylphosphonate degradation II
PWY-7400	L-arginine biosynthesis IV (archaebacteria)
PWY-7401	crotonate fermentation (to acetate and cyclohexane carboxylate)
PWY-7402	benzoate fermentation (to acetate and cyclohexane carboxylate)
PWY-7403	tetramethylpyrazine degradation
PWY-7404	ceramide phosphoethanolamine biosynthesis
PWY-7405	aurachin RE biosynthesis
PWY-7407	aurachin A, B, C and D biosynthesis
PWY-7409	phospholipid remodeling (phosphatidylethanolamine, yeast)
PWY-7410	ipsdienol biosynthesis
PWY-7411	superpathway of phosphatidate biosynthesis (yeast)
PWY-7412	mycinamicin biosynthesis
PWY-7413	dTDP-6-deoxy-&alpha;-D-allose biosynthesis
PWY-7414	dTDP-&alpha;-D-mycaminose biosynthesis
PWY-7415	tylosin biosynthesis
PWY-7416	phospholipid remodeling (phosphatidylcholine, yeast)
PWY-7417	phospholipid remodeling (phosphatidate, yeast)
PWY-7419	FR-900098 and FR-33289 antibiotics biosynthesis
PWY-741	p-cymene degradation to p-cumate
PWY-7420	monoacylglycerol metabolism (yeast)
PWY-7421	narbomycin, pikromycin and novapikromycin biosynthesis
PWY-7422	methymycin, neomethymycin and novamethymycin biosynthesis
PWY-7423	bombykol biosynthesis
PWY-7424	sterol:steryl ester interconversion (yeast)
PWY-7425	2-chloroacrylate degradation I
PWY-7426	mannosyl-glycoprotein N-acetylglucosaminyltransferases
PWY-7428	2-chloroacrylate degradation II
PWY-7429	arsenite oxidation II (respiratory)
PWY-7430	indole degradation to anthranil and anthranilate
PWY-7431	aromatic biogenic amine degradation (bacteria)
PWY-7432	L-phenylalanine biosynthesis III (cytosolic, plants)
PWY-7433	mucin core 1 and core 2 O-glycosylation
PWY-7434	terminal O-glycans residues modification
PWY-7435	mucin core 3 and core 4 O-glycosylation
PWY-7436	vitamin E biosynthesis (tocotrienols)
PWY-7437	protein O-[N-acetyl]-glucosylation
PWY-7438	superpathway of dTDP-glucose-derived antibiotic building blocks biosynthesis
PWY-7439	dTDP-&beta;-L-evernitrose biosynthesis
PWY-743	thiocyanate degradation II
PWY-7440	dTDP-&beta;-L-4-epi-vancosamine biosynthesis
PWY-7441	polymyxin A biosynthesis
PWY-7442	drosopterin and aurodrosopterin biosynthesis
PWY-7443	(4S)-carvone biosynthesis
PWY-7444	luteolin triglucuronide biosynthesis
PWY-7445	luteolin triglucuronide degradation
PWY-7446	sulfoglycolysis
PWY-7447	2-aminoethylphosphonate degradation III
PWY-7448	galloylated catechin biosynthesis
PWY-7449	acylated cyanidin galactoside biosynthesis
PWY-7450	anthocyanidin modification (Arabidopsis)
PWY-7452	cyanidin dimalonylglucoside biosynthesis
PWY-7455	allopregnanolone biosynthesis
PWY-7456	mannan degradation
PWY-7457	sulfite oxidation V (SoeABC)
PWY-7458	violdelphin biosynthesis
PWY-7459	kojibiose degradation
PWY-7460	2-O-acetyl-3-O-trans-coutarate biosynthesis
PWY-7461	hydroxycinnamate sugar acid ester biosynthesis
PWY-7462	3,3'-dithiodipropanoate degradation
PWY-7463	N-methylanthraniloyl-&beta;-D-glucopyranose biosynthesis
PWY-7464	cyanidin 3,7-diglucoside polyacylation biosynthesis
PWY-7465	3,3'-thiodipropanoate degradation
PWY-7466	acetone degradation III (to propane-1,2-diol)
PWY-7467	bactoprenyl-diphospho-acetamido-4-amino-6-deoxygalactopyranose biosynthesis
PWY-7468	benzoyl-&beta;-D-glucopyranose biosynthesis
PWY-7469	gentisate degradation II
PWY-7470	phosphatidylcholine biosynthesis VII
PWY-7471	D-carnitine degradation I
PWY-7472	D-carnitine degradation II
PWY-7473	avenacin A-1 biosynthesis
PWY-7474	avenacin A-2 biosynthesis
PWY-7475	des-methyl avenacin A-1 biosynthesis
PWY-7476	superpathway avenacin A biosynthesis
PWY-7477	momilactone A biosynthesis
PWY-7478	oryzalexin D and E biosynthesis
PWY-7480	2,3-dihydroxybenzoate degradation
PWY-7481	oryzalide A biosynthesis
PWY-7482	cyclooctatin biosynthesis
PWY-7483	elloramycin biosynthesis
PWY-7484	phytocassanes biosynthesis, shared reactions
PWY-7485	tetracenomycin C biosynthesis
PWY-7487	(+)-secoisolariciresinol diglucoside biosynthesis
PWY-7489	oryzalexin A, B, and C biosynthesis
PWY-7490	patulin biosynthesis
PWY-7491	podophyllotoxin glucosides metabolism
PWY-7492	paspaline biosynthesis
PWY-7493	paxilline and diprenylpaxilline biosynthesis
PWY-7494	choline degradation IV
PWY-7495	gossypetin metabolism
PWY-7496	linuron degradation
PWY-7497	3&beta;-hydroxysesquiterpene lactone biosynthesis
PWY-7498	phenylpropanoids methylation (ice plant)
PWY-7501	phosphatidylserine biosynthesis I
PWY-7506	phosphatidylserine biosynthesis II
PWY-7507	chelerythrine biosynthesis
PWY-7509	cardiolipin and phosphatidylethanolamine biosynthesis (Xanthomonas)
PWY-7510	rhizocticin A and B biosynthesis
PWY-7511	protein ubiquitylation
PWY-7512	3,5,6-trichloro-2-pyridinol degradation
PWY-7513	flaviolin dimer and mompain biosynthesis
PWY-7514	L-tyrosine degradation IV (to 4-methylphenol)
PWY-7515	trans-3-hydroxy-L-proline degradation
PWY-7516	L-lyxonate degradation
PWY-7517	brassicicene C biosynthesis
PWY-7518	atromentin biosynthesis
PWY-7520	terrequinone A biosynthesis
PWY-7521	3-(4-sulfophenyl)butanoate degradation
PWY-7522	(R)-canadine biosynthesis
PWY-7523	L-arginine degradation XII
PWY-7524	mevalonate pathway III (archaea)
PWY-7525	fumitremorgin C biosynthesis
PWY-7526	fumitremorgin A biosynthesis
PWY-7527	L-methionine salvage cycle III
PWY-7528	L-methionine salvage cycle I (bacteria and plants)
PWY-7529	CMP-N-acetyl-7-O-acetylneuraminate biosynthesis
PWY-7530	&beta;-D-galactosaminyl-(1&rarr;3)-N-acetyl-&alpha;-D-galactosamine biosynthesis
PWY-7531	mannojirimycin biosynthesis
PWY-7532	acetylaszonalenin biosynthesis
PWY-7533	gliotoxin biosynthesis
PWY-7534	gliotoxin inactivation
PWY-7535	lovastatin biosynthesis
PWY-7536	2-amino-3-hydroxycyclopent-2-enone biosynthesis
PWY-7537	superpathway of fumitremorgin biosynthesis
PWY-7539	6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)
PWY-7540	aflatrem biosynthesis
PWY-7541	1,2-propanediol biosynthesis from lactate (engineered)
PWY-7542	fumiquinazoline D biosynthesis
PWY-7543	5-N-acetylardeemin biosynthesis
PWY-7544	pyruvate to cytochrome bo oxidase electron transfer
PWY-7545	pyruvate to cytochrome bd terminal oxidase electron transfer
PWY-7546	diphthamide biosynthesis (eukaryotes)
PWY-7547	prodigiosin biosynthesis
PWY-7548	methylthiolincosamide biosynthesis
PWY-7549	asperlicin E biosynthesis
PWY-7550	ergothioneine biosynthesis II (fungi)
PWY-7552	heme biosynthesis III (from siroheme)
PWY-7554	heme d1 biosynthesis
PWY-7555	&alpha;-cyclopiazonate biosynthesis
PWY-7556	(-)-microperfuranone biosynthesis
PWY-7557	dehydrodiconiferyl alcohol degradation
PWY-7558	&alpha;-cyclopiazonate detoxification
PWY-7559	glutathione degradation (DUG pathway - yeast)
PWY-7560	methylerythritol phosphate pathway II
PWY-7561	tenellin biosynthesis
PWY-7562	3,6-anhydro-&alpha;-L-galactopyranose degradation
PWY-7563	bassianin and desmethylbassianin biosynthesis
PWY-7564	bacimethrin and bacimethrin pyrophosphate biosynthesis
PWY-7565	aspyridone A biosynthesis
PWY-7566	L-gulonate degradation
PWY-7568	L-galactose degradation
PWY-7569	arginomycin biosynthesis
PWY-7570	blasticidin S biosynthesis
PWY-7571	ferrichrome A biosynthesis
PWY-7572	lolitrem B biosynthesis
PWY-7573	GDP-mycosamine biosynthesis
PWY-7574	propanoyl-CoA degradation II
PWY-7575	superpathway of candicidin biosynthesis
PWY-7576	nitrogen fixation II (flavodoxin)
PWY-7577	ferrichrome biosynthesis
PWY-7578	phycoviolobilin biosynthesis
PWY-7579	phycourobilin biosynthesis
PWY-7580	phycoerythrobilin biosynthesis II
PWY-7581	N-acetylneuraminate and N-acetylmannosamine degradation II
PWY-7582	mercaptosuccinate degradation
PWY-7583	arachidonate biosynthesis II (bacteria)
PWY-7585	docosahexaenoate biosynthesis II (bacteria)
PWY-7586	&beta;-1,4-D-mannosyl-N-acetyl-D-glucosamine degradation
PWY-7587	oleate biosynthesis III (cyanobacteria)
PWY-7588	ursodeoxycholate biosynthesis (bacteria)
PWY-7589	palmitoleate biosynthesis III (cyanobacteria)
PWY-7590	(7Z,10Z,13Z)-hexadecatrienoate biosynthesis
PWY-7591	okenone biosynthesis
PWY-7592	arachidonate biosynthesis III (metazoa)
PWY-7593	linoleate biosynthesis III (cyanobacteria)
PWY-7594	&gamma;-linolenate biosynthesis III (cyanobacteria)
PWY-7595	stearidonate biosynthesis (cyanobacteria)
PWY-7596	superpathway of stearidonate biosynthesis (cyanobacteria)
PWY-7598	&alpha;-linolenate biosynthesis II (cyanobacteria)
PWY-7599	anditomin biosynthesis
PWY-7600	peramine biosynthesis
PWY-7601	arachidonate biosynthesis IV (8-detaturase)
PWY-7602	icosapentaenoate biosynthesis V (&Delta;8 desaturase)
PWY-7603	stephacidin A biosynthesis
PWY-7604	notoamide C and D biosynthesis
PWY-7605	roquefortine C biosynthesis
PWY-7606	docosahexaenoate biosynthesis III (mammals)
PWY-7607	meleagrin biosynthesis
PWY-7608	neoxaline biosynthesis
PWY-7609	superpathway of roquefortine, meleagrin and neoxaline biosynthesis
PWY-7610	GDP-6-deoxy-D-altro-heptose biosynthesis
PWY-7612	chaetoglobosin A biosynthesis
PWY-7613	GDP-6-deoxy-D-manno-heptose biosynthesis
PWY-7614	methiin metabolism
PWY-7615	pterocarpan phytoalexins modification (maackiain, medicarpin, pisatin, phaseollin)
PWY-7616	methanol oxidation to carbon dioxide
PWY-7618	ricinoleate biosynthesis
PWY-7619	juniperonate biosynthesis
PWY-761	rhizobactin 1021 biosynthesis
PWY-7620	naphthalene degradation (anaerobic)
PWY-7621	autoinducer CAI-1 biosynthesis
PWY-7622	UDP-galactofuranose biosynthesis
PWY-7623	astaxanthin dirhamnoside biosynthesis
PWY-7624	nystatin biosynthesis
PWY-7625	phosphatidylinositol biosynthesis II (eukaryotes)
PWY-7626	bacilysin biosynthesis
PWY-7627	2,4,6-trinitrophenol and 2,4-dinitrophenol degradation
PWY-7628	2,4-dinitroanisole degradation
PWY-7629	yatein biosynthesis
PWY-762	phospholipid desaturation
PWY-7630	pluviatolide biosynthesis
PWY-7631	arctigenin and isoarctigenin biosynthesis
PWY-7632	hinokiresinol biosynthesis
PWY-7633	calycosin 7-O-glucoside biosynthesis
PWY-7634	vernolate biosynthesis II
PWY-7635	kievitone detoxification
PWY-7636	astaxanthin biosynthesis (flowering plants)
PWY-7637	2,2'-dihydroxyketocarotenoids biosynthesis
PWY-7638	echinenone and zeaxanthin biosynthesis (Synechocystis)
PWY-7639	bis(guanylyl molybdenum cofactor) biosynthesis
PWY-7640	neophaseic acid biosynthesis
PWY-7641	5-hexynoate biosynthesis
PWY-7642	7'-hydroxyabscisate biosynthesis
PWY-7643	coniferyl alcohol 9-methyl ester biosynthesis
PWY-7644	heparin degradation
PWY-7645	hyaluronan degradation
PWY-7646	dermatan sulfate degradation I (bacterial)
PWY-7647	ulvan degradation
PWY-7648	4-methyl-proline biosynthesis
PWY-7649	3-hydroxy-L-homotyrosine biosynthesis
PWY-7650	echinocandin B biosynthesis
PWY-7651	heparan sulfate degradation
PWY-7652	echinocandin B degradation
PWY-7653	griseofulvin biosynthesis
PWY-7654	(8E,10E)-dodeca-8,10-dienol biosynthesis
PWY-7655	dechlorogriseofulvin biosynthesis
PWY-7656	Spodoptera littoralis pheromone biosynthesis
PWY-7657	dTDP-&beta;-L-digitoxose biosynthesis
PWY-7658	protein N-glycosylation (Methanococcus voltae)
PWY-7659	viridicatumtoxin biosynthesis
PWY-7660	tryptoquialanine biosynthesis
PWY-7661	protein N-glycosylation (Haloferax volcanii)
PWY-7662	glycogen degradation III (via anhydrofructose)
PWY-7663	gondoate biosynthesis (anaerobic)
PWY-7664	oleate biosynthesis IV (anaerobic)
PWY-7665	aureobasidin A biosynthesis
PWY-7666	galactolipid biosynthesis II
PWY-7667	apicidin biosynthesis
PWY-7668	apicidin F biosynthesis
PWY-7669	equisetin biosynthesis
PWY-7670	fusaridione A biosynthesis
PWY-7671	saframycin A biosynthesis
PWY-7672	fusaric acid biosynthesis
PWY-7673	fusarin C biosynthesis
PWY-7674	CMP-8-amino-3,8-dideoxy-D-manno-octulosonate biosynthesis
PWY-7675	Kdo transfer to lipid IVA II
PWY-7676	Kdo8N transfer to lipid IVA
PWY-7677	rosamicin biosynthesis
PWY-782	glycolipid desaturation
PWY-801	L-homocysteine and L-cysteine interconversion
PWY-804	glycolate degradation II
PWY-81	toluene degradation to benzoyl-CoA (anaerobic)
PWY-821	superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)
PWY-822	fructan biosynthesis
PWY-82	UDP-L-arabinose biosynthesis II (from L-arabinose)
PWY-83	monolignol glucosides biosynthesis
PWY-841	superpathway of purine nucleotides de novo biosynthesis I
PWY-842	starch degradation I
PWY-84	resveratrol biosynthesis
PWY-861	dhurrin biosynthesis
PWY-862	fructan degradation
PWY-881	trehalose biosynthesis II
PWY-882	L-ascorbate biosynthesis I (L-galactose pathway)
PWY8J2-1	bacillithiol biosynthesis
PWY8J2-20	pulcherrimin biosynthesis
PWY8J2-22	kanosamine biosynthesis II
PWY-922	mevalonate pathway I
PWY-981	salicylate biosynthesis II
PWYDQC-4	indole-3-acetate biosynthesis I
PWYG-321	mycolate biosynthesis
PWYQT-4427	sulfolipid biosynthesis
PWYQT-4429	CO2 fixation into oxaloacetate (anaplerotic)
PWYQT-4450	aliphatic glucosinolate biosynthesis, side chain elongation cycle
PWYQT-4471	glucosinolate biosynthesis from dihomomethionine
PWYQT-4472	glucosinolate biosynthesis from trihomomethionine
PWYQT-4473	glucosinolate biosynthesis from tetrahomomethionine
PWYQT-4474	glucosinolate biosynthesis from pentahomomethionine
PWYQT-4475	glucosinolate biosynthesis from hexahomomethionine
PWYQT-4476	indole glucosinolate breakdown (insect chewing induced)
PWYQT-4477	indole glucosinolate breakdown (active in intact plant cell)
PYRIDNUCSAL-PWY	NAD salvage pathway I
PYRIDNUCSYN-PWY	NAD biosynthesis I (from aspartate)
PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I
PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA
QUINATEDEG-PWY	quinate degradation I
REDCITCYC	TCA cycle VIII (helicobacter)
RHAMCAT-PWY	L-rhamnose degradation I
RIBITOLUTIL-PWY	ribitol degradation
RIBOKIN-PWY	ribose degradation
RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)
RUMP-PWY	formaldehyde oxidation I
SALVADEHYPOX-PWY	adenosine nucleotides degradation II
SALVPURINE2-PWY	xanthine and xanthosine salvage
SAM-PWY	S-adenosyl-L-methionine biosynthesis
SERDEG-PWY	L-serine degradation
SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I
SERSYN-PWY	L-serine biosynthesis
SHIKIMATEDEG-PWY	shikimate degradation I
SO4ASSIM-PWY	sulfate reduction I (assimilatory)
SOPHOROSYLOXYDOCOSANOATE-DEG-PWY	sophorosyloxydocosanoate deacetylation
SOPHOROSYLOXYDOCOSANOATE-SYN-PWY	sophorolipid biosynthesis
SORBDEG-PWY	D-sorbitol degradation II
SPHINGOLIPID-SYN-PWY	sphingolipid biosynthesis (yeast)
SUCROSEUTIL2-PWY	sucrose degradation VII (sucrose 3-dehydrogenase)
SUCSYN-PWY	sucrose biosynthesis I (from photosynthesis)
SUCUTIL-PWY	sucrose degradation I (sucrose phosphotransferase)
SULFATE-CYS-PWY	superpathway of sulfate assimilation and cysteine biosynthesis
SULFMETII-PWY	sulfate reduction II (assimilatory)
SULFUROX-PWY	sulfur oxidation I (aerobic)
TAURINEDEG-PWY	taurine degradation III
TCA-GLYOX-BYPASS	superpathway of glyoxylate bypass and TCA
TCA	TCA cycle I (prokaryotic)
TEICHOICACID-PWY	teichoic acid (poly-glycerol) biosynthesis
THIOREDOX-PWY	thioredoxin pathway
THIOSULFOX-PWY	thiosulfate oxidation I (to tetrathionate)
THISYNARA-PWY	superpathway of thiamin diphosphate biosynthesis III (eukaryotes)
THISYN-PWY	superpathway of thiamin diphosphate biosynthesis I
THRDLCTCAT-PWY	L-threonine degradation III (to methylglyoxal)
THREOCAT-PWY	superpathway of L-threonine metabolism
THREONINE-DEG2-PWY	L-threonine degradation II
THRESYN-PWY	superpathway of L-threonine biosynthesis
TOLSULFDEG-PWY	4-toluenesulfonate degradation I
TOLUENE-DEG-2-OH-PWY	toluene degradation to 2-oxopent-4-enoate I (via o-cresol)
TOLUENE-DEG-3-OH-PWY	toluene degradation to 2-oxopent-4-enoate (via 4-methylcatechol)
TOLUENE-DEG-4-OH-PWY	toluene degradation to protocatechuate (via p-cresol)
TOLUENE-DEG-CATECHOL-PWY	toluene degradation to benzoate
TOLUENE-DEG-DIOL-PWY	toluene degradation to 2-oxopent-4-enoate (via toluene-cis-diol)
TREDEGLOW-PWY	trehalose degradation I (low osmolarity)
TREHALOSESYN-PWY	trehalose biosynthesis III
TRESYN-PWY	trehalose biosynthesis I
TRIGLSYN-PWY	diacylglycerol and triacylglycerol biosynthesis
TRNA-CHARGING-PWY	tRNA charging
TRPCAT-PWY	L-tryptophan degradation I (via anthranilate)
TRPIAACAT-PWY	L-tryptophan degradation VII (via indole-3-pyruvate)
TRPKYNCAT-PWY	L-tryptophan degradation IV (via indole-3-lactate)
TRPSYN-PWY	L-tryptophan biosynthesis
TRYPANOSYN-PWY	trypanothione biosynthesis
TRYPDEG-PWY	L-tryptophan degradation II (via pyruvate)
TRYPTOPHAN-DEGRADATION-1	L-tryptophan degradation III (eukaryotic)
TYRFUMCAT-PWY	L-tyrosine degradation I
TYRSYN	L-tyrosine biosynthesis I
UBISYN-PWY	superpathway of ubiquinol-8 biosynthesis (prokaryotic)
UDPNACETYLGALSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis II
UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis I
URDEGR-PWY	superpathway of allantoin degradation in plants
URSIN-PWY	ureide biosynthesis
VALDEG-PWY	L-valine degradation I
VALSYN-PWY	L-valine biosynthesis
XYLCAT-PWY	xylose degradation I
